Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Nathan Turner,B,C,D,A,A,D,D,D,C,A,B,B,C,D,C
Edward Thomas,A,B,B,A,A,D,A,B,D,A,C,D,D,C,B
Pamela Sullivan,C,D,A,B,A,D,A,B,C,A,A,A,A,C,C
Wyatt Phillips,C,D,D,C,C,D,A,C,C,D,A,A,D,C,B
Heather Silva,C,A,D,C,D,A,B,C,D,D,B,D,C,A,D
Keith Gibson,C,C,C,A,D,A,B,C,C,A,A,B,A,B,C
Matthew Martinez,C,A,B,D,B,B,C,B,A,A,B,C,D,B,C
Mark Krause,D,C,D,B,A,D,B,C,C,B,A,B,D,A,A
Samantha King,D,B,B,C,C,B,A,D,D,B,D,B,D,B,B
Sharon Vasquez,A,B,C,B,D,A,C,D,C,D,C,A,C,C,B
Dominic Browning,D,B,A,C,A,A,C,C,B,B,C,B,B,A,C
Christina Cooper,B,A,B,B,A,B,C,C,B,B,D,D,B,C,B
Regina Munoz MD,B,B,B,C,C,C,C,A,C,D,C,B,B,C,B
Shannon Valencia,D,D,B,A,B,D,D,B,D,C,C,B,A,D,A
Holly Fuentes,A,C,C,C,B,D,A,C,A,B,A,A,C,B,C
Shane Rogers,C,C,B,B,B,B,D,B,D,A,D,C,A,B,D
Edward Stanley,A,C,D,C,A,C,B,D,D,C,A,B,C,A,D
Jade Wagner,D,A,C,C,B,B,D,A,A,C,C,A,B,B,A
Kenneth Kennedy,D,A,B,A,B,A,D,A,B,B,A,C,B,D,D
Colleen Bell,D,D,A,B,D,D,A,B,A,B,D,B,A,B,A
Mrs. Jessica Houston,C,A,B,C,B,A,D,A,C,A,D,C,A,B,C
Eric Hoffman,B,A,A,C,A,A,B,C,D,D,B,B,C,B,C
Alexis King,D,D,D,C,C,C,B,A,D,D,D,C,C,D,C
Gloria Mckee,D,A,C,C,C,A,A,D,C,C,B,A,A,A,A
Charles Reed,B,C,B,B,A,A,D,B,A,B,C,B,D,A,D
Gabriella Becker,D,B,C,B,D,B,C,A,B,B,D,B,C,D,C
Timothy Brewer,A,A,B,C,D,A,D,A,A,A,B,C,A,D,A
Ray Young,C,D,C,D,A,D,A,A,B,D,C,D,B,C,A
Kimberly Owens,B,D,A,A,B,B,B,D,D,C,C,A,D,D,C
Jeffrey Rogers,D,A,B,C,A,A,D,A,B,C,A,B,C,D,D
Dean Lewis,B,D,D,A,C,C,C,A,B,B,D,A,A,B,A
Shawn Lopez,B,B,D,C,D,C,A,C,B,B,A,B,A,C,A
Spencer Owens,A,A,A,B,A,D,A,D,B,A,D,B,B,D,C
Troy Edwards,C,B,D,B,B,C,C,A,A,C,B,B,C,B,D
Brandy Gross,B,B,C,D,B,A,A,C,C,C,C,D,A,C,A
Mrs. Bethany Stone,A,A,D,A,A,C,C,D,A,B,D,B,C,A,C
Kimberly Singleton,D,B,D,A,D,A,D,B,B,A,B,A,D,A,D
Kevin Cooper,B,D,C,C,C,D,B,D,B,C,C,D,A,C,A
Patricia Rodgers,C,A,B,C,B,D,C,C,B,A,B,D,D,B,C
Peter Adams,A,B,C,B,D,B,C,C,A,B,C,C,C,C,D
Michelle Brown,B,B,C,D,B,C,B,D,C,D,A,B,C,A,D
Dave Nelson,A,D,A,B,D,B,B,B,A,A,B,D,D,C,A
Kelly Chapman,B,D,A,B,B,A,C,A,D,D,A,B,B,C,A
Katherine Thomas,B,A,A,A,B,D,B,A,B,D,C,A,D,C,C
Robert Marquez,C,B,D,B,B,B,B,A,C,D,A,A,C,A,C
Robert Johnson,C,B,A,C,D,C,D,A,D,B,A,D,C,B,D
Stefanie Gates,A,D,C,B,B,D,C,B,C,A,D,A,D,B,A
Michele Burke,A,B,B,A,A,B,B,D,B,A,B,D,B,A,B
David Lambert,D,D,D,A,A,D,D,B,B,A,C,A,C,D,C
Joshua Ewing,C,C,D,B,D,C,C,D,D,A,A,C,B,B,B
